time,id,x,y
0,nakae,7.46705086388626,2.25174752788906
0,ugcxf,6.35465393272021,0.484486890932645
0,tbhuo,0.984197898715156,3.6497688832935
0,esrht,5.4191422600324,1.4280200308616
0,ubuiw,6.34839558265835,1.90160441734165
0,rahxb,9.25183643816758,2.38878086311432
0,rpwkz,7.7617867192319,3.4040677937214
0,jvaua,1.49137212464932,2.47765452241562
0,hjcsz,7.02808364118395,1.64708767221516
0,oewee,2.86242123633428,1.84994610907083
0.1,nakae,7.48458690586457,2.25433009888218
0.1,ugcxf,6.34771921930671,0.467246997770366
0.1,tbhuo,0.992810726783283,3.66610860491986
0.1,esrht,5.41758412084148,1.44042139239675
0.1,ubuiw,6.33140684637751,1.91091642458524
0.1,rahxb,9.26327806626921,2.37426836609288
0.1,rpwkz,7.77927690796935,3.3985564084464
0.1,jvaua,1.48784411755653,2.4828573976837
0.1,hjcsz,7.03606941655424,1.63208950560132
0.1,oewee,2.84396653552032,1.85052330030904
0.2,nakae,7.49619125274839,2.23040835926945
0.2,ugcxf,6.31992828898777,0.469391424581823
0.2,tbhuo,1.02007082203696,3.66115747831918
0.2,esrht,5.42326354445012,1.44302898494344
0.2,ubuiw,6.33706545781923,1.93942035510424
0.2,rahxb,9.24767769054755,2.3513542660664
0.2,rpwkz,7.78980767379092,3.37314504035879
0.2,jvaua,1.49954765198342,2.49764516248556
0.2,hjcsz,7.01821546141067,1.61390019807399
0.2,oewee,2.83646809777758,1.87718448891907
0.3,nakae,7.49465818553397,2.21720315847239
0.3,ugcxf,6.29559687984564,0.503392672668145
0.3,tbhuo,1.05056686118533,3.63292361383101
0.3,esrht,5.44020812916843,1.43500529679725
0.3,ubuiw,6.35966486854492,1.97669471621791
0.3,rahxb,9.213932727964,2.32705941411655
0.3,rpwkz,7.75820478859429,3.34661796692029
0.3,jvaua,1.52627183357009,2.50692051729468
0.3,hjcsz,7.0067162916768,1.60840722519223
0.3,oewee,2.8598737265405,1.91150691631348
0.4,nakae,7.49389165192676,2.21060055807385
0.4,ugcxf,6.25079785714544,0.547282054472998
0.4,tbhuo,1.09631091990788,3.59057281709875
0.4,esrht,5.46562500624589,1.42296976457797
0.4,ubuiw,6.3822642792706,2.01396907733158
0.4,rahxb,9.16331528408869,2.29061713619176
0.4,rpwkz,7.70461107211335,3.31566354067496
0.4,jvaua,1.56816507808901,2.51366127113836
0.4,hjcsz,7.00096670680987,1.60566073875135
0.4,oewee,2.88550875309007,1.96830492238656
0.5,nakae,7.49321028872035,2.20473157994183
0.5,ugcxf,6.18359932309513,0.613116127180278
0.5,tbhuo,1.16492700799171,3.52704662200036
0.5,esrht,5.50375032186208,1.40491646624905
0.5,ubuiw,6.39356398463345,2.03260625788841
0.5,rahxb,9.0873891182757,2.23595371930458
0.5,rpwkz,7.67781421387288,3.3001863275523
0.5,jvaua,1.63100494486738,2.52377240190389
0.5,hjcsz,6.99585596470592,1.60321941747057
0.5,oewee,2.90858280705753,2.05888481095831
0.6,nakae,7.49116619910113,2.18712464554574
0.6,ugcxf,6.11640078904483,0.678950199887557
0.6,tbhuo,1.23354309607553,3.46352042690196
0.6,esrht,5.52281297967018,1.39588981708459
0.6,ubuiw,6.40486368999629,2.05124343844525
0.6,rahxb,8.97349986955624,2.15395859397382
0.6,rpwkz,7.63761892651218,3.2769705078683
0.6,jvaua,1.69113435343739,2.5446419502244
0.6,hjcsz,6.99074522260198,1.60077809618979
0.6,oewee,2.94703534688188,2.14408182006792
0.7,nakae,7.49014415429151,2.17832117834769
0.7,ugcxf,6.01560298796937,0.777701308948477
0.7,tbhuo,1.27284552784517,3.43819741150303
0.7,esrht,5.53234430857423,1.39137649250236
0.7,ubuiw,6.41051354267771,2.06056202872366
0.7,rahxb,8.85961062083677,2.07196346864305
0.7,rpwkz,7.57732599547112,3.2421467783423
0.7,jvaua,1.75397422021577,2.55475308098993
0.7,hjcsz,6.98052373839409,1.59589545362823
0.7,oewee,3.00471415661839,2.27187733373233
0.8,nakae,7.48946279108511,2.17245220021567
0.8,ugcxf,5.89111189799212,0.711263768666763
0.8,tbhuo,1.27871008878787,3.3918126815065
0.8,esrht,5.53799250348033,1.38870192978696
0.8,ubuiw,6.41630430553908,2.06342043209842
0.8,rahxb,8.80266599647703,2.03096590597767
0.8,rpwkz,7.5471795299506,3.22473491357931
0.8,jvaua,1.75397422021577,2.55475308098993
0.8,hjcsz,6.97541299629015,1.59345413234745
0.8,oewee,3.03932523756959,2.40774716658996
0.9,nakae,7.48777264195942,2.16679070252811
0.9,ugcxf,5.82565417864159,0.737594008658645
0.9,tbhuo,1.28457464973057,3.34542795150997
0.9,esrht,5.54224172424284,1.39328445249038
0.9,ubuiw,6.42090200532855,2.08224041605087
0.9,rahxb,8.71724905993743,1.96946956197959
0.9,rpwkz,7.51703306443007,3.20732304881631
0.9,jvaua,1.75397422021577,2.55475308098993
0.9,hjcsz,6.97030225418621,1.59101281106667
0.9,oewee,3.07393631852079,2.54361699944759
1,nakae,7.48709127875302,2.16092172439608
1,ugcxf,5.75661871093857,0.75215761946187
1,tbhuo,1.28750693020192,3.3222355865117
1,esrht,5.54901956191206,1.40378599914758
1,ubuiw,6.43259586480219,2.10884394192792
1,rahxb,8.63183212339783,1.90797321798151
1,rpwkz,7.48688659890954,3.18991118405331
1,jvaua,1.75506581339369,2.56094381353429
1,hjcsz,6.96519151208227,1.58857148978589
1,oewee,3.108547399472,2.67948683230523
1.1,nakae,7.48640991554661,2.15505274626405
1.1,ugcxf,5.67332143634461,0.68687322770876
1.1,tbhuo,1.28897307043759,3.31063940401257
1.1,esrht,5.5550463809877,1.40213286780209
1.1,ubuiw,6.45013665401265,2.1487492307435
1.1,rahxb,8.54641518685823,1.84647687398344
1.1,rpwkz,7.48688659890954,3.18991118405331
1.1,jvaua,1.75506581339369,2.5735162826795
1.1,hjcsz,6.94985928577044,1.58124752594355
1.1,oewee,3.16622620920851,2.80728234596964
1.2,nakae,7.48675804113571,2.14915461361824
1.2,ugcxf,5.58601063175708,0.746683855222881
1.2,tbhuo,1.28974535829836,3.30453112681138
1.2,esrht,5.57046739111349,1.41279546455163
1.2,ubuiw,6.4676774432231,2.18865451955908
