filename,condition,related_error,sampling_rate,random_drop,moving_window,span,weighted,by,nsim,mean_diff_x,mean_diff_y,sd_diff_x,sd_diff_y,q025_diff_x,q025_diff_y,q975_diff_x,q975_diff_y
synthetic_related_10,bin_only,TRUE,10,,FALSE,,,"",1,-0.000110604030017092,6.21296836121198e-05,0.0138597507683958,0.0138025999717946,-0.0272167907981678,-0.0271681226760255,0.0272717937804124,0.0272629534614818
synthetic_related_10,bin_only,TRUE,10,,FALSE,,,"",2,6.42534433096622e-05,-0.000264284002084362,0.0138493018300475,0.0138586669748642,-0.0269034262413321,-0.0271510918310222,0.0270005849490556,0.0265794115840135
synthetic_related_10,bin_only,TRUE,10,,FALSE,,,"",3,0.000220937743323922,-6.01430681864863e-05,0.0136321938959618,0.013906750310398,-0.0266233980436935,-0.0275119452617687,0.0266965210702022,0.0272135233896916
synthetic_related_10,bin_only,TRUE,10,,FALSE,,,"",4,-0.000123857511314254,-9.90496231288621e-05,0.0139051324423657,0.0139280542412775,-0.0275729028157079,-0.0276378596526216,0.0267917733625657,0.0269937076798419
synthetic_related_10,bin_only,TRUE,10,,FALSE,,,"",5,0.000256348765802006,3.48877697992103e-05,0.0138329266338028,0.0139133642208312,-0.0268972536459652,-0.0272966778241753,0.0274234068214081,0.0272497382564918
synthetic_related_10,bin_only,TRUE,10,,FALSE,,,"",6,0.000153404753542499,1.01015197668807e-05,0.013784867624564,0.0138281579444593,-0.0268011997849691,-0.0270132989382793,0.0269095647719501,0.0269385185552899
synthetic_related_10,bin_only,TRUE,10,,FALSE,,,"",7,0.00020229033489926,1.81721832955049e-05,0.0137958060501451,0.0137246581105132,-0.0265683747239884,-0.026902994418714,0.027557296770371,0.0273158712044409
synthetic_related_10,bin_only,TRUE,10,,FALSE,,,"",8,6.74464880008341e-05,9.90875574716623e-05,0.0137836035992801,0.013751990315159,-0.0270086380305584,-0.0266785373011644,0.0268935921718964,0.02699633723075
synthetic_related_10,bin_only,TRUE,10,,FALSE,,,"",9,-6.49169182692198e-05,4.63587583222744e-05,0.0138612330934143,0.013937360464499,-0.0273346215931932,-0.027375125740754,0.0265017084001342,0.0276699629050023
synthetic_related_10,bin_only,TRUE,10,,FALSE,,,"",10,-0.000198200006839778,1.6052571350571e-05,0.0139619286669919,0.0139453669013566,-0.0274654919421165,-0.027500164838075,0.0274089463281946,0.0272423304271592
synthetic_related_10,bin_only,TRUE,10,,FALSE,,,"",11,-1.70529139593703e-05,-5.08225543722016e-05,0.0139046676350833,0.0138723075324814,-0.0273420110886418,-0.0272360164599468,0.0270379878271284,0.0271772643311889
synthetic_related_10,bin_only,TRUE,10,,FALSE,,,"",12,-0.000143338327758788,-0.000128846651892275,0.0138789802938846,0.0139391201031159,-0.0274403025218256,-0.0276094306302807,0.0268791708741,0.0269526145908199
synthetic_related_10,bin_only,TRUE,10,,FALSE,,,"",13,5.86002026105924e-05,4.17395624858623e-05,0.0137620268682627,0.0137422976654674,-0.0270211826184482,-0.027046032554846,0.0271183960124273,0.0266235374711222
synthetic_related_10,bin_only,TRUE,10,,FALSE,,,"",14,6.80689800678544e-05,0.000140548167656987,0.0137864900606079,0.0138569272239383,-0.0267507031112629,-0.0271902665110078,0.027147025788576,0.0275590295613093
synthetic_related_10,bin_only,TRUE,10,,FALSE,,,"",15,0.000111426250584224,-1.41267637641845e-05,0.0139331155626179,0.013975041593982,-0.0276932328445713,-0.0274842381190067,0.0272379054749392,0.0272475486877999
synthetic_related_10,bin_only,TRUE,10,,FALSE,,,"",16,0.000158833374506062,5.43712919257272e-05,0.0139078820540595,0.0138253348342478,-0.0269461721488958,-0.0272655179632607,0.027852040959585,0.0270786647710688
synthetic_related_10,bin_only,TRUE,10,,FALSE,,,"",17,-0.000117520729870888,-4.14752699237551e-05,0.0138396428399032,0.0139748614233615,-0.0269465130166857,-0.027579077191517,0.027186833309619,0.0277530012814209
synthetic_related_10,bin_only,TRUE,10,,FALSE,,,"",18,-3.37630456280047e-05,-3.34240076219566e-05,0.0138215053048759,0.0138693848076093,-0.0269894496039301,-0.0272435246550998,0.0272495165098844,0.0272222312796799
synthetic_related_10,bin_only,TRUE,10,,FALSE,,,"",19,5.85998748793578e-05,4.06543585682765e-05,0.0137238177715221,0.0138242243904332,-0.0268640343518944,-0.0272519146011294,0.0269499462065138,0.0268653285741906
synthetic_related_10,bin_only,TRUE,10,,FALSE,,,"",20,-0.000101025472906306,0.000119683550823387,0.0139743656847189,0.0138823855122923,-0.0270736074538511,-0.0268957328647877,0.027740769731732,0.0272253474293146
synthetic_related_10,bin_only,TRUE,10,,FALSE,,,"",21,-7.90299987296034e-05,2.26830296288284e-05,0.0138255651135144,0.0139959441269597,-0.0271306592998605,-0.027394011823403,0.027101869883283,0.0276802628185402
synthetic_related_10,bin_only,TRUE,10,,FALSE,,,"",22,4.61565873758267e-05,7.35694037146519e-05,0.0138993577654916,0.0140477757673909,-0.0272109853766735,-0.0275854039544462,0.0275987722843883,0.0276872436500252
synthetic_related_10,bin_only,TRUE,10,,FALSE,,,"",23,-4.94227830541752e-05,-0.000103390748931228,0.0138186114455014,0.0140891352198734,-0.027105482827355,-0.0274546561219462,0.0268620809609432,0.0275263193613762
synthetic_related_10,bin_only,TRUE,10,,FALSE,,,"",24,-4.99123139442847e-05,-0.00029273710195339,0.0138553478447973,0.0138518057400209,-0.0272137801129665,-0.0272073737212384,0.0271426324731268,0.0265861802409424
synthetic_related_10,bin_only,TRUE,10,,FALSE,,,"",25,0.000144695209958373,0.000150424373485779,0.0139150781818155,0.0137219350820812,-0.0273785345370635,-0.0265340137943726,0.02732270317903,0.0271265788772116
synthetic_related_10,bin_only,TRUE,10,,FALSE,,,"",26,0.000139906148751363,-1.41758202287851e-05,0.0138985731967618,0.0137312974049909,-0.0271589945759079,-0.0267921239433474,0.0272299491133238,0.0266313664636126
synthetic_related_10,bin_only,TRUE,10,,FALSE,,,"",27,-9.32857941907297e-05,-5.05597712582156e-05,0.0139789457598409,0.0140429333211796,-0.0276360981777626,-0.0276046739353479,0.027429838926067,0.0273144053813309
synthetic_related_10,bin_only,TRUE,10,,FALSE,,,"",28,-0.000101453026550746,-4.75792047367895e-05,0.0138784896637542,0.0138696079918934,-0.0269453657399529,-0.0275635896004173,0.0272729968570989,0.0270404076924493
synthetic_related_10,bin_only,TRUE,10,,FALSE,,,"",29,-7.16411581598462e-05,0.000145565137399216,0.013767262617283,0.0138551041506778,-0.0268927443759895,-0.027109771740823,0.0266312928890213,0.0271322706204159
synthetic_related_10,bin_only,TRUE,10,,FALSE,,,"",30,-4.82550865135837e-05,1.75544937498645e-05,0.0138881365891736,0.0137718340745634,-0.0274471270030611,-0.026850381562189,0.0268283011801586,0.0269866386862521
synthetic_related_10,bin_only,TRUE,10,,FALSE,,,"",31,5.80269781328469e-05,-0.000109408909827346,0.0139821993171674,0.0138761990804218,-0.0275304894094178,-0.0271083493029096,0.0272985763270045,0.0275299445746648
synthetic_related_10,bin_only,TRUE,10,,FALSE,,,"",32,-8.63938177320491e-05,0.00017345853886935,0.0137501708426946,0.0138824084372613,-0.0269264465484989,-0.026857344827543,0.0270870555438424,0.0270799676639898
synthetic_related_10,bin_only,TRUE,10,,FALSE,,,"",33,0.000189217140930731,-3.85877730160971e-07,0.013971612777236,0.013942677199683,-0.0270525944559279,-0.0274958005696716,0.0277211125917169,0.0274850075732792
synthetic_related_10,bin_only,TRUE,10,,FALSE,,,"",34,6.59522061312074e-05,6.90689008424484e-06,0.0138641468857659,0.0139467858294385,-0.0268046229056226,-0.0273418886771996,0.0271856827982918,0.0271863143749578
synthetic_related_10,bin_only,TRUE,10,,FALSE,,,"",35,-1.39190845637439e-06,-0.000148839427756892,0.0138514881916244,0.0138200534944329,-0.0269308912348172,-0.0269323411220259,0.0270247787299587,0.026998789014701
synthetic_related_10,bin_only,TRUE,10,,FALSE,,,"",36,-4.60298447919381e-05,3.84540183663849e-05,0.0138817503044329,0.0138396287778148,-0.0270995249545864,-0.0273233041302303,0.0274685826752079,0.0268860939328595
synthetic_related_10,bin_only,TRUE,10,,FALSE,,,"",37,8.72410552209122e-05,0.000125304929996612,0.014024494502043,0.0139677908214206,-0.0270463165090576,-0.0273790910135764,0.0275705050583667,0.0273862470214261
synthetic_related_10,bin_only,TRUE,10,,FALSE,,,"",38,-0.000105906987858448,-0.000205099204304368,0.0138907276802151,0.0139488595437582,-0.0271723910242791,-0.0272123814517412,0.0274526671150805,0.02726464859959
synthetic_related_10,bin_only,TRUE,10,,FALSE,,,"",39,-9.34302815310041e-05,-0.000117991274845705,0.0139329062100405,0.0138901352974788,-0.0277274651351872,-0.0273106549460445,0.0269714566305094,0.0273266834366364
synthetic_related_10,bin_only,TRUE,10,,FALSE,,,"",40,-0.000120417422663214,-3.71150715745539e-05,0.0138886813533807,0.0138544795293727,-0.0269390846896714,-0.0273823218211879,0.0273032033408156,0.0267750591279723
synthetic_related_10,bin_only,TRUE,10,,FALSE,,,"",41,0.00016785374838855,0.000102537306033149,0.0137460176967403,0.0138052948954252,-0.0264441513617376,-0.026874693968659,0.0270838751768011,0.0267097613375459
synthetic_related_10,bin_only,TRUE,10,,FALSE,,,"",42,-0.000159222084947507,-9.5506136695009e-05,0.0138605626497182,0.0137712153081888,-0.0272775796310902,-0.0270968972909053,0.0269078458756358,0.0265266118498078
synthetic_related_10,bin_only,TRUE,10,,FALSE,,,"",43,0.000122251621631952,-2.67089104821454e-05,0.0139067100199922,0.0139609782173847,-0.02747698239734,-0.0274401635868305,0.027058598041412,0.0274086401795285
synthetic_related_10,bin_only,TRUE,10,,FALSE,,,"",44,-9.31689571909174e-05,3.2429064904646e-05,0.0138923098674829,0.0139476426682883,-0.0272063562708334,-0.0279678310507953,0.0275808047635541,0.0272928714155607
